indicator,_20,_33,_40,_60,_66,_80,_99
format_complete,0.4285714285714285,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.7142857142857143,0.7142857142857143,1.0
readable,0.19038888888888889,0.23192499999999996,0.25305555555555553,0.2822222222222222,0.2865,0.3056666666666667,0.3919249999999999
customer_speak,0.854006734006734,0.8768549063461001,0.8923976608187134,0.9129353233830846,0.9183670103092784,0.9473684210526316,1.0
small,0.6444444444444446,0.6666666666666667,0.6666666666666667,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.9455555555555553
independent,0.1278427470980919,0.1352423137223359,0.15080902172506871,0.16258767797307597,0.16765739600407192,0.2112624344964246,0.4317270068776987
word_sparse,0.3289940828402367,0.41520710059171595,0.4532544378698225,0.7550295857988165,0.8084797814620868,0.8544378698224853,0.9868450479233227
sentence_sparse,0.32,0.4666666666666667,0.49719298245614046,0.7936842105263158,0.8305263157894738,0.9491228070175439,1.0
easy_language,0.27476190476190476,0.30256603773584906,0.3125041459369817,0.34605451936872306,0.36352067868504767,0.3846438482886217,0.5392307692307691
