indicator,_20,_33,_40,_60,_66,_80,_99
format_complete,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.6285714285714283,0.7142857142857143,0.7142857142857143,1.0
readable,0.10922222222222219,0.14048055555555553,0.16266666666666663,0.2303888888888889,0.25529999999999997,0.2884999999999999,0.39282777777777783
customer_speak,0.875,0.8941165413533835,0.9027197975964579,0.925925925925926,0.9454385964912281,1.0,1.0
small,0.6666666666666667,0.7777777777777778,0.7777777777777778,0.8955223880597015,0.9155223880597015,0.9701492537313432,1.0
independent,0.15115623407117357,0.16717701551476724,0.175763748399261,0.21470669000877418,0.22323860811146357,0.27683620055631913,0.7576488746696193
word_sparse,0.25680473372781065,0.3850788797096244,0.46686390532544375,0.8019169329073482,0.8506389776357828,0.9353933171529953,0.997620464009518
sentence_sparse,0.2666666666666666,0.41914285714285715,0.4666666666666667,0.8449456975772764,0.8571428571428571,0.9612364243943192,1.0
easy_language,0.25408163265306116,0.28053052325581396,0.29944444444444446,0.3370463709677419,0.3538300653594771,0.3893719806763285,0.5626442307692309
