indicator,_20,_33,_40,_60,_66,_80,_99
format_complete,0.2857142857142857,0.4285714285714285,0.4285714285714285,0.5714285714285714,0.6200000000000004,0.7142857142857143,0.9299999999999997
readable,0.05988888888888884,0.10468611111111106,0.11872222222222223,0.13905555555555552,0.15383888888888883,0.21211111111111108,0.36596388888888876
customer_speak,0.8882539682539682,0.9076936026936028,0.9183458646616541,0.9634125636672325,1.0,1.0,1.0
small,0.8955223880597015,0.9129850746268656,0.9343283582089553,0.9611940298507461,0.9752238805970149,0.9850746268656716,1.0
independent,0.20131991182354417,0.21411608474346078,0.2229844074614454,0.2558457773274661,0.27847829868227864,0.40615484572086663,0.8144104831719805
word_sparse,0.17179487179487182,0.3205128205128205,0.482051282051282,0.8879375829405574,0.903919065269452,0.9741820345032719,0.997620464009518
sentence_sparse,0.1428571428571428,0.2857142857142857,0.4285714285714285,0.8571428571428571,0.8706349206349208,0.9714285714285715,1.0
easy_language,0.22723789620341342,0.26574754901960784,0.2830564784053156,0.3283333333333333,0.3415075707702436,0.3896825396825397,0.5318749999999999
