ab
abend
abendessen
aber
acht
advent
all
alle
allein
alles
als
also
alt
am
ameise
ampel
amsel
an
ändern
anders
anfang
ängstlich
antworten
apfel
april
aquarium
arbeiten
ärgern
arm
arm
arzt
ast
auch
auf
aufgabe
aufräumen
aufwachen
august
aus
axt
baby
bach
backen
bäcker
bad
baden
bald
ball
band
bank
bär
bauch
baum
beere
beginnen
bei
beide
beim
bein
bequem
berg
besen
besser
bett
biber
biene
birne
bis
bisschen
bitten
blau
bleiben
blind
blitzen
blond
blühen
blume
blüte
bluten
boot
böse
boxen
brauchen
braun
brennen
brief
brille
bringen
brot
brücke
bruder
brüllen
buch
bunt
burg
butter
cent
clown
comic
da
dach
dachs
danach
danken
dann
das
daumen
decke
dein
dem
den
denken
denn
der
des
deshalb
dezember
dich
dick
die
dieb
dienstag
dies
dir
doch
donnern
donnerstag
doppelt
dort
dose
drache
draußen
dreckig
drehen
drei
drücken
du
dumm
dunkel
dünn
durch
dürfen
dürfen
durst
dusche
e-mail
ehrlich
eimer
ein
einige
einmal
eis
eltern
empfindlich
ende
endlich
engel
enkel
ente
er
erde
ereignis
erfolg
ergebnis
erklären
erlebnis
erschrecken
erst
erzählen
es
esel
essen
etwas
euch
euer
eule
eure
fach
faden
fahren
fahrrad
fallen
fangen
fangen
farbe
faust
februar
feder
fehler
feld
fenster
fest
fieber
film
finden
finger
fisch
flasche
fleck
fleißig
fliege
fließen
flosse
flöte
fluss
flüssig
flüstern
frage
frau
freiheit
freitag
fressen
freude
freuen
freund
freundlich
friedlich
frieren
fröhlich
frosch
frucht
früh
frühling
frühstück
fuchs
fühlen
füller
für
fuß
fußball
füttern
gabel
ganz
garten
gast
gebäude
geburt
geburtstag
gefährlich
gefallen
gegen
geheimnis
gehen
gelb
geld
gemüse
gern
geschenk
gesicht
gestern
gesund
gewinnen
glas
glatt
glauben
gleich
glück
graben
gras
gras
grau
groß
grün
gruß
gut
haar
haben
hai
hals
halten
hamster
hand
handy
hart
hase
haus
haut
heimlich
heiß
heißen
heizung
hell
herbst
herr
herz
herzlich
hexe
hier
himmel
hitze
hobby
hoffen
hoffentlich
höflich
höhle
hören
hose
hübsch
huhn
hund
hundert
hunger
hungrig
husten
ich
igel
ihm
ihn
ihr
im
immer
impfung
in
ins
insel
ja
jacke
jahr
jahr
januar
jede
jedoch
jemand
jetzt
juli
junge
juni
käfer
käfig
kaiser
kälte
kämmen
kämpfen
kaputt
karte
käse
kater
katze
kaufen
kein
kennen
kerze
kicken
kind
kino
kirche
kirsche
kissen
klar
klasse
kleben
kleid
kleidung
klein
klettern
klug
knie
knopf
kochen
koffer
kommen
können
kopf
körper
kräftig
krank
kratzen
kreuzung
kriechen
krone
krumm
küche
kuh
kühl
küssen
lachen
lampe
land
lang
länge
langsam
lärm
lassen
laufen
laufen
laut
leben
lecker
leicht
leihen
leise
leiter
lenken
lernen
lesen
lexikon
licht
lieben
lied
liegen
links
lob
loch
löffel
löwe
luchs
lustig
machen
mädchen
mai
mais
malen
man
manch
manchmal
mandarine
mann
mannschaft
mantel
märchen
märz
maschine
maus
meer
mehr
mein
meinung
messer
meter
mich
milch
mir
mit
mittag
mittagessen
mitte
mittwoch
mögen
mond
montag
moos
morgen
mühe
müll
mund
muschel
müssen
mutig
mutter
mütze
nach
nachdem
nachmittag
nächste
nacht
nadel
nahrung
name
nämlich
nase
nass
neben
nehmen
nein
nett
neu
nicht
nichts
nicken
nie
niemals
niemand
niesen
noch
november
nudel
nun
nur
nuss
ob
oben
obst
oder
offen
öffnen
oft
ohne
ohr
oktober
öl
onkel
ordnung
ostern
paar
paar
päckchen
packen
papier
party
passen
pfeil
pferd
pflanze
pflücken
pfote
pfütze
pinsel
pizza
platz
plötzlich
pony
preis
proben
prüfen
punkt
pünktlich
puppe
pyramide
quader
quadrat
quaken
qualm
quatsch
quelle
quer
rad
raten
rätsel
räuber
raum
rechnen
rechnung
rechts
reden
regen
reh
reich
reihe
reise
rennen
retten
richtung
riechen
riesig
ring
rock
rose
rot
rücken
rufen
ruhe
rund
saal
sache
saft
säge
sagen
sammeln
samstag
satt
satz
schaf
schaffen
scharf
schatz
schaufel
schaukel
schenken
schere
schicken
schiff
schlafen
schlafen
schlagen
schlange
schließen
schlimm
schlitten
schloss
schluss
schlüssel
schmecken
schmutzig
schnecke
schnee
schneemann
schneiden
schneien
schnell
schon
schön
schrank
schreck
schreiben
schreibtisch
schreien
schuh
schule
schwarz
schwer
schwester
schwierig
schwimmbad
schwimmen
schwitzen
sechs
see
sehen
sehr
seife
sein
sein
seit
seite
september
sich
sie
silvester
singen
sinken
sitzen
so
socke
sogar
sohn
solch
sollen
sommer
sondern
sonne
sonntag
sparen
spät
spaten
spatz
spiegel
spiel
spinne
spitze
sportlich
sprache
sprechen
springen
spritzen
spülen
stadt
stamm
stark
staunen
stehen
stehlen
stein
stellen
stempel
stern
stiefel
stift
still
stimmen
stoff
stören
strafe
strand
straße
streicheln
streichen
streifen
streiten
streng
strom
stück
stufe
stuhl
stumm
stunde
sturm
suchen
suppe
süß
süßigkeit
tafel
tag
täglich
tante
tasche
taxi
teddy
tee
teller
text
theater
thema
thermometer
tier
tiger
tisch
tochter
toll
topf
tor
träne
traum
traurig
treffen
treppe
treu
trinken
trocken
trösten
trotzdem
tür
turnen
üben
über
überall
Übung
uhr
um
und
uns
uns
unten
unter
urlaub
vase
vater
verbieten
verbrennen
verein
vergessen
vergleichen
verkaufen
verkleiden
verletzen
verlieren
verpacken
verraten
verschwinden
verstecken
verstehen
versuchen
vertrauen
verwandt
viel
vielleicht
vier
virus
vogel
voll
vom
von
vor
vorbei
vorfahren
vorher
vorkommen
vorlesen
vorne
vornehmen
vorschlagen
vorschreiben
vorsichtig
vortragen
vulkan
waage
wachsen
wahr
während
wald
wand
wann
warm
wärme
warten
warum
was
wäsche
wasser
wecker
weg
wege
wegen
weich
weil
weinen
weiß
weiter
welche
wem
wen
wenig
wenn
wer
werden
werfen
wetter
wichtig
wie
wieder
wiese
wild
windig
winken
winter
wir
wirklich
wissen
witz
wo
woche
wohnen
wohnung
wolke
wollen
wort
wünschen
würfel
wurm
wurst
wütend
zählen
zahn
zaun
zeh
zeichnung
zeigen
zeit
zeitung
zelt
zeugnis
ziehen
ziemlich
zimmer
zoo
zu
zucker
zuerst
zug
zukunft
zum
zunge
zur
zurück
zusammen
zwerg
zwischen
zylinder
