indicator,_20,_33,_40,_60,_66,_80,_99
format_complete,0.1666666666666666,0.1666666666666666,0.1666666666666666,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.8333333333333334
readable,0.0,0.0,0.011666666666666641,0.18833333333333324,0.20258333333333328,0.24966666666666662,0.33413888888888893
customer_speak,0.6266666666666666,0.7685454545454545,0.7805194805194805,1.0,1.0,1.0,1.0
small,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent,0.21329392602630926,0.21485977287647468,0.21545053787913881,0.2324031422963687,0.24890583748612768,0.26382488103604984,0.32292879203356034
word_sparse,0.0444444444444444,0.0555555555555555,0.0555555555555555,0.2609195402298848,0.5381609195402302,0.7689655172413793,0.9311206896551725
sentence_sparse,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.7333333333333334,1.0
easy_language,0.0,0.0,0.0,0.3162318840579709,0.36162318840579705,0.37872603586889303,0.47151515151515144
