indicator,_20,_33,_40,_60,_66,_80,_99
format_complete,0.0,0.0,0.0,0.0,0.0,0.0,0.0
readable,0.0,0.0,0.0,0.042333333333333306,0.06773333333333331,0.11777777777777775,0.16316666666666663
customer_speak,0.6980392156862746,0.8,0.8823529411764707,1.0,1.0,1.0,1.0
small,0.0,0.0,0.0,0.0,0.0,0.0,0.0
independent,0.18922459660034122,0.19543741151570618,0.19872045894720144,0.21182150398867097,0.2168680903579853,0.31673550160218034,0.6674661220250294
word_sparse,0.0,0.024615384615384612,0.04615384615384614,0.10769230769230766,0.12615384615384612,0.1846153846153846,0.30153846153846153
sentence_sparse,0.0,0.16000000000000003,0.30000000000000004,0.7,0.8200000000000001,1.0,1.0
easy_language,0.0,0.05333333333333332,0.09999999999999998,0.2130434782608695,0.24086956521739128,0.2927536231884058,0.3313043478260869
